row_id	arm	choice	p_consistent	p_contradicted	p_not_checkable	confidence	baseline
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/JfrReport.java#JfrReport.className(RecordedClass)	swapped	not_checkable	0.020	0.370	0.610	0.420	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/JfrReport.java#JfrReport.referrerPath(RecordedObject)	real	consistent	0.940	0.050	0.010	0.910	0.667
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/JfrReport.java#JfrReport.referrerPath(RecordedObject)	swapped	not_checkable	0.060	0.020	0.920	0.880	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/JfrReport.java#JfrReport.value(RecordedObject, String)	real	not_checkable	0.240	0.220	0.540	0.320	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/JfrReport.java#JfrReport.value(RecordedObject, String)	swapped	not_checkable	0.310	0.030	0.660	0.500	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/LatencyHistogram.java#LatencyHistogram.percentileMillis(double)	real	consistent	0.960	0.040	0.000	0.940	0.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Pipeliner.java#Pipeliner.closeIndex(int)	real	contradicted	0.490	0.490	0.020	0.240	0.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/RawHttp.java#RawHttp.awaitClose(InputStream)	real	consistent	0.710	0.080	0.210	0.560	0.500
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/RawHttp.java#RawHttp.awaitClose(InputStream)	swapped	not_checkable	0.040	0.160	0.800	0.700	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/RawHttp.java#RawHttp.closeOutcome(InputStream)	real	consistent	0.560	0.280	0.160	0.340	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/RawHttp.java#RawHttp.closeOutcome(InputStream)	swapped	contradicted	0.120	0.870	0.010	0.800	0.500
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/RawHttp.java#RawHttp.connect(String, int, int)	real	consistent	0.570	0.060	0.370	0.350	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/RawHttp.java#RawHttp.connect(String, int, int)	swapped	not_checkable	0.020	0.040	0.940	0.910	0.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/RawHttp.java#RawHttp.isReset(IOException)	real	consistent	0.700	0.050	0.250	0.550	0.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/RawHttp.java#RawHttp.isReset(IOException)	swapped	not_checkable	0.020	0.280	0.700	0.550	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/RawHttp.java#RawHttp.readResponse(InputStream)	real	consistent	0.750	0.230	0.020	0.630	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/RawHttp.java#RawHttp.readResponse(InputStream)	swapped	contradicted	0.340	0.540	0.120	0.310	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/SoakBytes.java#SoakBytes.big(int)	real	consistent	0.860	0.100	0.040	0.780	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/SoakBytes.java#SoakBytes.big(int)	swapped	contradicted	0.020	0.800	0.180	0.700	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/SoakBytes.java#SoakBytes.firstMismatch(byte[])	real	consistent	0.810	0.190	0.000	0.720	0.500
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/SoakBytes.java#SoakBytes.firstMismatch(byte[])	swapped	contradicted	0.030	0.960	0.010	0.930	0.500
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/SoakLoad.java#SoakLoad.FLOOR_RPS_PER_CONNECTION	real	consistent	0.520	0.010	0.470	0.280	0.500
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/SoakLoad.java#SoakLoad.start(String, Stats, Runnable)	real	consistent	0.980	0.020	0.000	0.960	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/SoakServer.java#SoakServer.awaitListening(String, int)	real	consistent	0.680	0.040	0.280	0.520	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/SoakServer.java#SoakServer.awaitListening(String, int)	swapped	contradicted	0.020	0.540	0.440	0.300	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/SoakServer.java#SoakServer.openFileDescriptors()	real	consistent	0.530	0.220	0.250	0.290	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/SoakServer.java#SoakServer.openFileDescriptors()	swapped	not_checkable	0.020	0.430	0.550	0.330	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/SoakServer.java#SoakServer.register(HttpServerBuilder)	real	consistent	0.950	0.040	0.010	0.930	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/SoakServer.java#SoakServer.register(HttpServerBuilder)	swapped	not_checkable	0.010	0.000	0.990	0.980	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/SoakServer.java#SoakServer.sample(LogCounters, JfrCounters)	real	consistent	0.720	0.270	0.010	0.580	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/SoakServer.java#SoakServer.sample(LogCounters, JfrCounters)	swapped	not_checkable	0.060	0.120	0.820	0.730	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/SoakServer.java#SoakServer.start(String, String, int, Executor)	real	consistent	0.980	0.010	0.010	0.960	0.500
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/SoakServer.java#SoakServer.start(String, String, int, Executor)	swapped	not_checkable	0.020	0.010	0.970	0.960	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Stats.java#Stats.appendDetails(StringBuilder)	real	not_checkable	0.270	0.320	0.410	0.110	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Stats.java#Stats.appendDetails(StringBuilder)	swapped	not_checkable	0.010	0.110	0.880	0.820	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Stats.java#Stats.casePassed()	real	contradicted	0.360	0.400	0.240	0.100	0.500
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Stats.java#Stats.casePassed()	swapped	contradicted	0.020	0.830	0.150	0.740	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Stats.java#Stats.counterSum(Predicate<String>)	real	consistent	0.990	0.010	0.000	0.980	0.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Stats.java#Stats.counterSum(Predicate<String>)	swapped	not_checkable	0.270	0.030	0.700	0.560	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Stats.java#Stats.latency(String, long, boolean)	real	consistent	0.790	0.200	0.010	0.680	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Stats.java#Stats.latency(String, long, boolean)	swapped	contradicted	0.020	0.730	0.250	0.600	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Stats.java#Stats.ok()	real	not_checkable	0.080	0.170	0.750	0.630	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Stats.java#Stats.ok()	swapped	consistent	0.460	0.370	0.170	0.190	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Stats.java#Stats.report()	real	not_checkable	0.460	0.040	0.500	0.240	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Stats.java#Stats.report()	swapped	contradicted	0.060	0.830	0.110	0.750	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Stats.java#Stats.request(int)	real	consistent	0.590	0.150	0.260	0.380	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Stats.java#Stats.request(int)	swapped	not_checkable	0.090	0.020	0.890	0.840	1.000
incident-client#incident-core/src/main/java/software/sava/incident/core/api/IncidentClients.java#IncidentClients.loadFactory(String)	real	not_checkable	0.020	0.110	0.870	0.800	1.000
incident-client#incident-core/src/main/java/software/sava/incident/core/json/JsonUtil.java#JsonUtil.escapeJson(String)	real	consistent	0.920	0.020	0.060	0.880	0.667
incident-client#incident-core/src/main/java/software/sava/incident/core/json/JsonUtil.java#JsonUtil.escapeJson(String)	swapped	not_checkable	0.030	0.030	0.940	0.920	1.000
incident-client#incident-core/src/main/java/software/sava/incident/core/json/JsonUtil.java#JsonUtil.escapeJsonRemoveNewLines(String)	real	consistent	0.980	0.010	0.010	0.980	0.500
incident-client#incident-core/src/main/java/software/sava/incident/core/json/JsonUtil.java#JsonUtil.escapeJsonRemoveNewLines(String)	swapped	consistent	0.500	0.470	0.030	0.260	0.667
incident-client#incident-core/src/main/java/software/sava/incident/core/json/Rfc3339.java#Rfc3339.FORMATTER	real	consistent	0.960	0.010	0.030	0.950	1.000
incident-client#incident-core/src/main/java/software/sava/incident/core/json/Rfc3339.java#Rfc3339.format(ZonedDateTime)	real	not_checkable	0.470	0.010	0.520	0.280	1.000
incident-client#incident-io/src/main/java/software/sava/incident/io/CreateIncidentRequest.java#CreateIncidentRequest$Builder.build()	real	consistent	0.980	0.010	0.010	0.970	1.000
incident-client#incident-io/src/main/java/software/sava/incident/io/CreateIncidentRequest.java#CreateIncidentRequest$Builder.build()	swapped	not_checkable	0.010	0.120	0.870	0.790	1.000
incident-client#incident-io/src/main/java/software/sava/incident/io/CreateIncidentRequest.java#CreateIncidentRequest$Builder.customFieldValues(Map<String, String>)	real	consistent	0.820	0.120	0.060	0.730	1.000
incident-client#incident-io/src/main/java/software/sava/incident/io/CreateIncidentRequest.java#CreateIncidentRequest$Builder.customFieldValues(Map<String, String>)	swapped	not_checkable	0.010	0.030	0.960	0.940	1.000
incident-client#incident-io/src/main/java/software/sava/incident/io/CreateIncidentRequest.java#CreateIncidentRequest$CustomFieldEntry.<init>(String, String)	real	consistent	0.950	0.000	0.050	0.920	1.000
incident-client#incident-io/src/main/java/software/sava/incident/io/CreateIncidentRequest.java#CreateIncidentRequest$CustomFieldEntry.<init>(String, String)	swapped	contradicted	0.050	0.700	0.250	0.540	1.000
incident-client#incident-io/src/main/java/software/sava/incident/io/CreateIncidentRequest.java#CreateIncidentRequest$IncidentRoleAssignment.<init>(String, String)	real	consistent	0.920	0.000	0.080	0.870	0.667
incident-client#incident-io/src/main/java/software/sava/incident/io/CreateIncidentRequest.java#CreateIncidentRequest$IncidentRoleAssignment.<init>(String, String)	swapped	consistent	0.890	0.010	0.100	0.850	1.000
incident-client#incident-io/src/main/java/software/sava/incident/io/CreateIncidentRequestRecord.java#CreateIncidentRequestRecord.customFieldEntryJson(CustomFieldEntry)	real	consistent	0.750	0.200	0.050	0.620	0.500
incident-client#incident-io/src/main/java/software/sava/incident/io/CreateIncidentRequestRecord.java#CreateIncidentRequestRecord.customFieldEntryJson(CustomFieldEntry)	swapped	contradicted	0.390	0.530	0.080	0.290	0.750
incident-client#incident-io/src/main/java/software/sava/incident/io/CreateIncidentRequestRecord.java#CreateIncidentRequestRecord.customFieldValueJson(CustomFieldValue)	real	consistent	0.940	0.060	0.000	0.900	0.500
incident-client#incident-io/src/main/java/software/sava/incident/io/CreateIncidentRequestRecord.java#CreateIncidentRequestRecord.customFieldValueJson(CustomFieldValue)	swapped	contradicted	0.050	0.720	0.230	0.570	0.750
incident-client#incident-io/src/main/java/software/sava/incident/io/CreateIncidentRequestRecord.java#CreateIncidentRequestRecord.incidentTimestampValueJson(IncidentTimestampValue)	real	consistent	0.960	0.030	0.010	0.950	0.500
incident-client#incident-io/src/main/java/software/sava/incident/io/CreateIncidentRequestRecord.java#CreateIncidentRequestRecord.incidentTimestampValueJson(IncidentTimestampValue)	swapped	not_checkable	0.070	0.200	0.730	0.590	1.000
incident-client#incident-io/src/main/java/software/sava/incident/io/CreateIncidentResponseRecord.java#CreateIncidentResponseRecord$Parser.parseIdName(JsonIterator)	real	contradicted	0.260	0.490	0.250	0.230	0.500
incident-client#incident-io/src/main/java/software/sava/incident/io/IncidentIoClient.java#IncidentIoClient.incidentClientBuilder()	real	consistent	0.640	0.300	0.060	0.450	0.500
incident-client#incident-io/src/main/java/software/sava/incident/io/IncidentIoIncidentClient.java#IncidentIoIncidentClient$Builder.incidentTimestampId(String)	real	consistent	0.910	0.020	0.070	0.870	1.000
incident-client#incident-io/src/main/java/software/sava/incident/io/IncidentIoIncidentClient.java#IncidentIoIncidentClient$Builder.incidentTimestampId(String)	swapped	not_checkable	0.010	0.020	0.970	0.950	1.000
incident-client#incident-io/src/main/java/software/sava/incident/io/IncidentIoIncidentClient.java#IncidentIoIncidentClient.summaryOf(IncidentAlert)	real	consistent	0.970	0.010	0.020	0.950	0.571
incident-client#incident-io/src/main/java/software/sava/incident/io/IncidentIoIncidentClient.java#IncidentIoIncidentClient.summaryOf(IncidentAlert)	swapped	not_checkable	0.010	0.160	0.830	0.750	1.000
incident-client#incident-io/src/main/java/software/sava/incident/io/config/IncidentIoConfig.java#IncidentIoConfig$Parser.strictMatcher(E[], String)	real	consistent	0.980	0.010	0.010	0.970	0.500
incident-client#incident-io/src/main/java/software/sava/incident/io/config/IncidentIoConfig.java#IncidentIoConfig$Parser.strictMatcher(E[], String)	swapped	contradicted	0.010	0.740	0.250	0.610	1.000
incident-client#incident-io/src/main/java/software/sava/incident/io/config/IncidentIoConfig.java#IncidentIoConfig.createIncidentClientBuilder(IncidentIoClient)	real	consistent	0.850	0.140	0.010	0.780	0.250
incident-client#incident-io/src/main/java/software/sava/incident/io/config/IncidentIoConfig.java#IncidentIoConfig.createIncidentClientBuilder(IncidentIoClient)	swapped	not_checkable	0.170	0.300	0.530	0.290	1.000
incident-client#incident-io/src/main/java/software/sava/incident/io/config/IncidentIoConfig.java#IncidentIoConfig.incidentTimestampId()	real	consistent	0.660	0.090	0.250	0.500	0.500
incident-client#incident-io/src/main/java/software/sava/incident/io/config/IncidentIoConfig.java#IncidentIoConfig.incidentTimestampId()	swapped	contradicted	0.100	0.610	0.290	0.410	1.000
incident-client#incident-io/src/main/java/software/sava/incident/io/exceptions/IncidentIoRequestException.java#IncidentIoRequestException.errorCode()	real	contradicted	0.020	0.500	0.480	0.260	1.000
incident-client#incident-pagerduty/src/main/java/software/sava/incident/pagerduty/event/client/PagerDutyEventClient.java#PagerDutyEventClient.asIncidentClient()	real	consistent	0.800	0.150	0.050	0.700	0.000
incident-client#incident-pagerduty/src/main/java/software/sava/incident/pagerduty/event/client/PagerDutyIncidentClient.java#PagerDutyIncidentClient.UNKNOWN_SOURCE	real	not_checkable	0.460	0.010	0.530	0.300	1.000
incident-client#incident-webhook/src/main/java/software/sava/incident/webhook/TelegramTextFormat.java#TelegramTextFormat.MAX_TEXT_LENGTH	real	consistent	0.610	0.100	0.290	0.420	1.000
incident-client#incident-webhook/src/main/java/software/sava/incident/webhook/WebhookClient.java#WebhookClient$Builder.header(String, String)	real	contradicted	0.220	0.660	0.120	0.490	1.000
incident-client#incident-webhook/src/main/java/software/sava/incident/webhook/WebhookClient.java#WebhookClient$Builder.header(String, String)	swapped	not_checkable	0.020	0.100	0.880	0.820	1.000
incident-client#incident-webhook/src/main/java/software/sava/incident/webhook/WebhookClient.java#WebhookClient.incidentClient(WebhookFormat)	real	consistent	0.780	0.100	0.120	0.670	0.000
incident-client#incident-webhook/src/main/java/software/sava/incident/webhook/WebhookClient.java#WebhookClient.incidentClient(WebhookFormat)	swapped	not_checkable	0.010	0.310	0.680	0.510	1.000
incident-client#incident-webhook/src/main/java/software/sava/incident/webhook/WebhookFormats.java#WebhookFormats.renderPlainText(IncidentAlert)	real	consistent	0.980	0.010	0.010	0.970	1.000
incident-client#incident-webhook/src/main/java/software/sava/incident/webhook/WebhookFormats.java#WebhookFormats.renderPlainText(IncidentAlert)	swapped	contradicted	0.030	0.940	0.030	0.910	1.000
incident-client#incident-webhook/src/main/java/software/sava/incident/webhook/WebhookFormats.java#WebhookFormats.slackText(IncidentAlert)	real	consistent	0.900	0.070	0.030	0.850	1.000
incident-client#incident-webhook/src/main/java/software/sava/incident/webhook/WebhookFormats.java#WebhookFormats.slackText(IncidentAlert)	swapped	consistent	0.560	0.380	0.060	0.340	1.000
incident-client#incident-webhook/src/main/java/software/sava/incident/webhook/WebhookIncidentClient.java#WebhookIncidentClient.DELIVERED	real	not_checkable	0.020	0.070	0.910	0.860	1.000
incident-client#incident-webhook/src/main/java/software/sava/incident/webhook/config/WebhookConfig.java#WebhookConfig$Parser.createConfig()	real	consistent	0.920	0.060	0.020	0.880	1.000
incident-client#incident-webhook/src/main/java/software/sava/incident/webhook/config/WebhookConfig.java#WebhookConfig$Parser.createConfig()	swapped	not_checkable	0.100	0.160	0.740	0.610	0.500
incident-client#incident-webhook/src/main/java/software/sava/incident/webhook/config/WebhookConfig.java#WebhookConfig$Parser.parseConfig(Properties)	real	consistent	0.780	0.160	0.060	0.670	0.000
incident-client#incident-webhook/src/main/java/software/sava/incident/webhook/config/WebhookConfig.java#WebhookConfig$Parser.parseConfig(Properties)	swapped	not_checkable	0.110	0.220	0.670	0.510	1.000
incident-client#incident-webhook/src/main/java/software/sava/incident/webhook/config/WebhookConfig.java#WebhookConfig$Parser.prefix()	real	not_checkable	0.140	0.220	0.640	0.470	1.000
incident-client#incident-webhook/src/main/java/software/sava/incident/webhook/config/WebhookConfig.java#WebhookConfig$Parser.prefix()	swapped	contradicted	0.060	0.740	0.200	0.610	1.000
incident-client#incident-webhook/src/main/java/software/sava/incident/webhook/config/WebhookConfig.java#WebhookConfig.chatId()	real	consistent	0.520	0.030	0.450	0.280	0.000
incident-client#incident-webhook/src/main/java/software/sava/incident/webhook/config/WebhookConfig.java#WebhookConfig.chatId()	swapped	not_checkable	0.070	0.140	0.790	0.680	1.000
incident-client#incident-webhook/src/main/java/software/sava/incident/webhook/config/WebhookConfig.java#WebhookConfig.headers()	real	contradicted	0.110	0.510	0.380	0.260	1.000
incident-client#incident-webhook/src/main/java/software/sava/incident/webhook/config/WebhookConfig.java#WebhookConfig.headers()	swapped	not_checkable	0.010	0.180	0.810	0.710	1.000
incident-client#incident-webhook/src/main/java/software/sava/incident/webhook/exceptions/WebhookRequestException.java#WebhookRequestException.body()	real	contradicted	0.330	0.440	0.230	0.170	1.000
incident-client#incident-webhook/src/main/java/software/sava/incident/webhook/exceptions/WebhookRequestException.java#WebhookRequestException.body()	swapped	contradicted	0.010	0.690	0.300	0.530	1.000
incident-client#incident-webhook/src/main/java/software/sava/incident/webhook/exceptions/WebhookRequestException.java#WebhookRequestException.errorCode()	real	not_checkable	0.220	0.160	0.620	0.430	1.000
incident-client#incident-webhook/src/main/java/software/sava/incident/webhook/exceptions/WebhookRequestException.java#WebhookRequestException.errorCode()	swapped	contradicted	0.050	0.510	0.440	0.260	1.000
json-iterator#jmh/src/jmh/java/systems/comodal/jsoniter/jmh/EscapeBench.java#EscapeBench.LOW_POOL	real	consistent	0.670	0.220	0.110	0.510	1.000
json-iterator#jmh/src/jmh/java/systems/comodal/jsoniter/jmh/EscapeBench.java#EscapeBench.LOW_POOL	swapped	not_checkable	0.030	0.390	0.580	0.370	1.000
json-iterator#jmh/src/jmh/java/systems/comodal/jsoniter/jmh/EscapeBench.java#EscapeBench.MIXED_POOL	real	consistent	0.790	0.120	0.090	0.700	1.000
json-iterator#jmh/src/jmh/java/systems/comodal/jsoniter/jmh/EscapeBench.java#EscapeBench.MIXED_POOL	swapped	consistent	0.620	0.310	0.070	0.430	1.000
json-iterator#jmh/src/jmh/java/systems/comodal/jsoniter/jmh/EscapeBench.java#EscapeBench.SPECIAL	real	consistent	0.800	0.060	0.140	0.700	1.000
json-iterator#jmh/src/jmh/java/systems/comodal/jsoniter/jmh/EscapeBench.java#EscapeBench.SPECIAL	swapped	not_checkable	0.100	0.110	0.790	0.700	1.000
json-iterator#jmh/src/jmh/java/systems/comodal/jsoniter/jmh/EscapeBench.java#EscapeBench.ascii(int, int, int)	real	consistent	0.890	0.070	0.040	0.840	0.333
json-iterator#jmh/src/jmh/java/systems/comodal/jsoniter/jmh/EscapeBench.java#EscapeBench.ascii(int, int, int)	swapped	not_checkable	0.020	0.050	0.930	0.910	1.000
json-iterator#jmh/src/jmh/java/systems/comodal/jsoniter/jmh/EscapeBench.java#EscapeBench.chars()	real	consistent	0.900	0.020	0.080	0.860	1.000
json-iterator#jmh/src/jmh/java/systems/comodal/jsoniter/jmh/EscapeBench.java#EscapeBench.chars()	swapped	consistent	0.590	0.280	0.130	0.380	1.000
json-iterator#jmh/src/jmh/java/systems/comodal/jsoniter/jmh/EscapeBench.java#EscapeBench.charsBranchless()	real	consistent	0.780	0.050	0.170	0.670	0.000
json-iterator#jmh/src/jmh/java/systems/comodal/jsoniter/jmh/EscapeBench.java#EscapeBench.charsBranchless()	swapped	consistent	0.690	0.190	0.120	0.530	0.750
json-iterator#jmh/src/jmh/java/systems/comodal/jsoniter/jmh/EscapeBench.java#EscapeBench.charsNoGuards()	real	consistent	0.630	0.270	0.100	0.440	0.857
json-iterator#jmh/src/jmh/java/systems/comodal/jsoniter/jmh/EscapeBench.java#EscapeBench.charsNoGuards()	swapped	not_checkable	0.330	0.070	0.600	0.400	1.000
json-iterator#jmh/src/jmh/java/systems/comodal/jsoniter/jmh/EscapeBench.java#EscapeBench.charsNoTable()	real	consistent	0.850	0.070	0.080	0.770	0.750
json-iterator#jmh/src/jmh/java/systems/comodal/jsoniter/jmh/EscapeBench.java#EscapeBench.charsNoTable()	swapped	consistent	0.870	0.080	0.050	0.790	1.000
json-iterator#jmh/src/jmh/java/systems/comodal/jsoniter/jmh/EscapeBench.java#EscapeBench.runs()	real	consistent	0.870	0.070	0.060	0.810	1.000
json-iterator#jmh/src/jmh/java/systems/comodal/jsoniter/jmh/EscapeBench.java#EscapeBench.runs()	swapped	contradicted	0.220	0.740	0.040	0.610	1.000
json-iterator#jmh/src/jmh/java/systems/comodal/jsoniter/jmh/EscapeBench.java#EscapeBench.runsClean()	real	consistent	0.650	0.050	0.300	0.480	1.000
json-iterator#jmh/src/jmh/java/systems/comodal/jsoniter/jmh/EscapeBench.java#EscapeBench.runsClean()	swapped	contradicted	0.080	0.730	0.190	0.580	1.000
json-iterator#jmh/src/jmh/java/systems/comodal/jsoniter/jmh/EscapeBench.java#EscapeBench.runsTable()	real	consistent	0.760	0.200	0.040	0.640	1.000
json-iterator#jmh/src/jmh/java/systems/comodal/jsoniter/jmh/EscapeBench.java#EscapeBench.runsTable()	swapped	not_checkable	0.070	0.350	0.580	0.370	1.000
json-iterator#jmh/src/jmh/java/systems/comodal/jsoniter/jmh/EscapeBench.java#EscapeBench.specialBranchless(char)	real	consistent	0.880	0.080	0.040	0.820	1.000
json-iterator#jmh/src/jmh/java/systems/comodal/jsoniter/jmh/EscapeBench.java#EscapeBench.specialBranchless(char)	swapped	not_checkable	0.010	0.050	0.940	0.910	1.000
json-iterator#jmh/src/jmh/java/systems/comodal/jsoniter/jmh/MigrationBench.java#MigrationBench.CHARS_META_PARSER	real	not_checkable	0.180	0.140	0.680	0.530	1.000
json-iterator#jmh/src/jmh/java/systems/comodal/jsoniter/jmh/SourceBench.java#SourceBench.string_toChars()	real	consistent	0.970	0.010	0.020	0.950	0.667
json-iterator#jmh/src/jmh/java/systems/comodal/jsoniter/jmh/SourceBench.java#SourceBench.string_toChars()	swapped	not_checkable	0.050	0.050	0.900	0.850	1.000
json-iterator#jmh/src/jmh/java/systems/comodal/jsoniter/jmh/SourceBench.java#SourceBench.walk(JsonIterator)	real	not_checkable	0.450	0.070	0.480	0.210	1.000
json-iterator#jmh/src/jmh/java/systems/comodal/jsoniter/jmh/SourceBench.java#SourceBench.walk(JsonIterator)	swapped	not_checkable	0.010	0.040	0.950	0.940	1.000
json-iterator#json-iterator/src/main/java/systems/comodal/jsoniter/BaseJsonIterator.java#BaseJsonIterator.ERROR_CONTEXT_RADIUS	real	not_checkable	0.320	0.070	0.610	0.410	1.000
json-iterator#json-iterator/src/main/java/systems/comodal/jsoniter/BaseJsonIterator.java#BaseJsonIterator.contextWindow(int)	real	consistent	1.000	0.000	0.000	0.990	0.500
json-iterator#json-iterator/src/main/java/systems/comodal/jsoniter/BaseJsonIterator.java#BaseJsonIterator.contextWindow(int)	swapped	consistent	0.890	0.080	0.030	0.820	1.000
json-iterator#json-iterator/src/main/java/systems/comodal/jsoniter/BaseJsonIterator.java#BaseJsonIterator.intDigit(int)	real	consistent	0.480	0.470	0.050	0.220	0.000
json-iterator#json-iterator/src/main/java/systems/comodal/jsoniter/BaseJsonIterator.java#BaseJsonIterator.intDigit(int)	swapped	not_checkable	0.010	0.400	0.590	0.390	1.000
json-iterator#json-iterator/src/main/java/systems/comodal/jsoniter/BaseJsonIterator.java#BaseJsonIterator.reportError(String, String)	real	consistent	0.710	0.100	0.190	0.560	1.000
json-iterator#json-iterator/src/main/java/systems/comodal/jsoniter/BaseJsonIterator.java#BaseJsonIterator.reportError(String, String)	swapped	not_checkable	0.030	0.150	0.820	0.730	0.500
json-iterator#json-iterator/src/main/java/systems/comodal/jsoniter/BaseJsonIterator.java#BaseJsonIterator.skipLiteral(String, String, String)	real	consistent	0.860	0.110	0.030	0.790	0.500
json-iterator#json-iterator/src/main/java/systems/comodal/jsoniter/BaseJsonIterator.java#BaseJsonIterator.skipLiteral(String, String, String)	swapped	not_checkable	0.010	0.470	0.520	0.280	1.000
json-iterator#json-iterator/src/main/java/systems/comodal/jsoniter/BytesJsonIterator.java#BytesJsonIterator.doubleReusableCharBuffer()	real	consistent	0.680	0.280	0.040	0.520	0.800
json-iterator#json-iterator/src/main/java/systems/comodal/jsoniter/BytesJsonIterator.java#BytesJsonIterator.doubleReusableCharBuffer()	swapped	contradicted	0.020	0.900	0.080	0.850	0.750
json-iterator#json-iterator/src/main/java/systems/comodal/jsoniter/BytesJsonIterator.java#BytesJsonIterator.isContinuation(int)	real	consistent	0.630	0.040	0.330	0.450	1.000
json-iterator#json-iterator/src/main/java/systems/comodal/jsoniter/BytesJsonIterator.java#BytesJsonIterator.isContinuation(int)	swapped	not_checkable	0.000	0.000	1.000	0.990	1.000
json-iterator#json-iterator/src/main/java/systems/comodal/jsoniter/BytesJsonIterator.java#BytesJsonIterator.parseEscapedBase64String()	real	consistent	0.890	0.040	0.070	0.830	0.500
json-iterator#json-iterator/src/main/java/systems/comodal/jsoniter/BytesJsonIterator.java#BytesJsonIterator.parseEscapedBase64String()	swapped	not_checkable	0.020	0.390	0.590	0.390	0.750
json-iterator#json-iterator/src/main/java/systems/comodal/jsoniter/BytesJsonIterator.java#BytesJsonIterator.parseFieldNameSlow()	real	consistent	0.920	0.070	0.010	0.880	0.500
json-iterator#json-iterator/src/main/java/systems/comodal/jsoniter/BytesJsonIterator.java#BytesJsonIterator.parseFieldNameSlow()	swapped	not_checkable	0.020	0.190	0.790	0.680	1.000
json-iterator#json-iterator/src/main/java/systems/comodal/jsoniter/BytesJsonIterator.java#BytesJsonIterator.widenToCharBuf(int)	real	consistent	0.950	0.050	0.000	0.920	0.000
json-iterator#json-iterator/src/main/java/systems/comodal/jsoniter/BytesJsonIterator.java#BytesJsonIterator.widenToCharBuf(int)	swapped	not_checkable	0.360	0.260	0.380	0.070	0.500
json-iterator#json-iterator/src/main/java/systems/comodal/jsoniter/DoubleParser.java#DoubleParser.computeFloat(boolean, long, long)	real	consistent	0.500	0.420	0.080	0.240	1.000
json-iterator#json-iterator/src/main/java/systems/comodal/jsoniter/DoubleParser.java#DoubleParser.computeFloat(boolean, long, long)	swapped	contradicted	0.010	0.840	0.150	0.750	1.000
